"â€¢ Minimum of 8 years of relevant work experience in contracting and budgeting in an engineering and/or construction environment â€¢ In depth knowledge of budgeting, contract management (negotiation and administration) and procurement for a large organization, public utility, or governmental program. â€¢ Experience in developing and defending new budget needs for a large organization, public utility, or governmental program. â€¢ Knowledge of MWBE requirements. â€¢ Contractor negotiations. â€¢ Experience in leading high-performance teams.  â€¢ Strong organization, and project management skills. Ability to manage multiple tasks and experience working and managing through complex systems across large number of stakeholders. â€¢ Strong knowledge of general management, project management, personnel management, and supervisory techniques and principles. â€¢ Strong written and verbal communication skills and experience with diverse workforce. â€¢ Strong understanding of computer programs and their use in optimizing systems.  Additional desired qualifications  â€¢ Masterâ€™s degree from an accredited college in engineering, business administration, public administration, law, environmental science, sustainability or related field.  â€¢ Knowledge of NYC budgeting and contracting",178873.0
"â€¢	Strong technical, interpersonal, communication, and computer skills with a working knowledge of MS Office software, and Project Scheduling Software.  â€¢	Knowledge of operations and processes for wastewater treatment facilities.  â€¢	Knowledge of design and construction industry standards and practices as well as a strong ability to work on a broad multidisciplinary base with various fields and trades as well as the ability to concurrently handle multiple related and non-related tasks.  â€¢	Proficiency in written and oral communication skills and have experience in writing and reviewing contract specifications for major public works projects.  â€¢	Ability to effectively communicate and conduct business with engineers/architects, inspectors, consultants, contractors, vendors, other agencies, and the public.",178873.0
"1.	Minimum 15 years of experience in planning, design and design services during construction for civil engineering site development projects  2.	Experience with AutoCAD and Civil 3D software programs  3.	Strong organizational and computer skills  4.	Civil Engineering design as it relates to site development  5.	Management and supervisory skills  6.	Communication skills  7.	Interpersonal and mentoring Skills  8.	Technical Writing Skills",178873.0
18 months of which must have been in an administrative,178873.0
"â€¢	In depth knowledge of construction management, capital project delivery, CMMS systems and asset management principles.  â€¢	Experience in leading high-performance teams.  â€¢	Functional technical knowledge and skill in a large organization, public utility, or wastewater programs. â€¢	Knowledge of whole systems analysis, process reengineering, process improvement, lean management philosophy, six sigma or other related continuous improvement processes. â€¢	Strong organization, and project management skills. Ability to manage multiple tasks and experience working and managing through complex systems across large number of stakeholders. â€¢	Strong knowledge of general management, project management, personnel management, and supervisory techniques and principles. â€¢	Strong written and verbal communication skills and experience with diverse workforce. â€¢	Strong understanding of computer programs and their use in optimizing systems.  In addition, selected candidates should possess:  â€¢	Project Management Professional (PMP) Certification  â€¢	Masterâ€™s degree from an accredited college in engineering, business administration, public administration, law, environmental science, sustainability or related field.  â€¢	Knowledge of Oracle or Avantis CMMS system",178873.0
architecture,178873.0
"â€¢ Clearly demonstrated experience trading money market instruments and exposure to foreign exchange markets.   â€¢ Experience in short term assets is a must; this experience includes but is not limited to:      - Understanding money market curves in relations to interest rate forecast;      - Relative value in different money market products;      - Valuations compared with long term assets;      - New money market measurements to replace Libor;      - Central Bank polices and the effect on Money Markets.   â€¢    The ability to assess investment guidelines and opportunities and propose alternative strategies.   â€¢    Familiarity with investment management risk platforms.   â€¢    Experience with foreign exchange hedging programs.   â€¢    Excellent writing, accounting, presentation, interpersonal, communication, organizational and process management skills; including strong Excel and PowerPoint skills are a must.  NOTE: Position requires extensive hands-on trading experience, cover letter must clearly provide details regarding the candidateâ€™s expertise and experience in managing a trading desk.",175000.0
"â€¢ Expert knowledge of financial principles and concepts and their application to the process of  underwriting and evaluating institutional real estate investments;  â€¢ 8+ years of experience with a financial services firm, preferably in debt or equity institutional real estate;  â€¢ Clearly demonstrated experience in investment manager sourcing and due diligence; portfolio management, structuring and monitoring; producing monthly, quarterly and annual investment    materials; and, constructing and producing clear, cohesive investment recommendation documents;	  â€¢ Excellent financial analysis, writing, presentation, interpersonal, communication and organizational skills;  â€¢ Strong fluency in Microsoft Office Suite (Word, Excel and PowerPoint).",175000.0
"Candidates should have at least five years of experience in a managerial, administrative or supervisory capacity; five years field inspection experience; and a thorough understanding of building construction methods, materials and assemblies, especially older buildings of the 19th and 20th centuries.  Expertise in forensic diagnosis of deterioration, distress, and failure issues is highly desirable, as well as an up-to-date understanding of construction and material costs.  Excellent written and verbal skills, and a valid motor vehicle driver's license are required.   .",173486.0
â€¢	Supervisory experience â€¢	Excellent communication and writing skills â€¢	Plant species and disease identification â€¢	Experience in habitat enhancement for pollinator species â€¢	Plant nursery and greenhouse management experience â€¢	Knowledge of landscape maintenance vehicles â€¢	NYS driver license,173486.0
all candidates must have the eighteen months of administrative,173486.0
and City employees,170000.0
"The preferred candidate should possess the following:    â€¢	10+ years of relevant work or academic experience, including; â€¢	4+ years of work experience in high-pressure, entrepreneurial environments; â€¢	A proven track record of success; â€¢	An entrepreneurial, self-motivated leader; â€¢	Deep knowledge of web development best practices; â€¢	High-level experience delivering digital services in innovative government organizations such as 18F or the U.S. Digital Service   â€¢	Experience conducting or implementing user-centered design or research; â€¢	Experience leading teams; â€¢	Relevant technical expertise such as web development or DevOps; â€¢	Product management, or major project management experience; â€¢	A desire and ability to manage and mentor teams; â€¢	Keen strategic and tactical mind; â€¢	A growth mindset.",170000.0
"Substantial experience in managing a unit, bureau, or office and supervising both legal and non-legal staff is strongly preferred, including intake and triage of cases.  Significant recent  litigation experience. Strong writing, editing, and negotiation skills and experience.  Government service, as well as experience in interacting with investigative agencies, a plus.",170000.0
however,168433.0
"Candidates should be experienced in Roadway, Sewer, and Water-Main design and have at least four years of experience in management, administration, or supervision; excellent verbal and written communication skills; and have knowledge of the Cityâ€™s infrastructure system.",168433.0
"1. Knowledge of EEO and housing laws, including Title VII of the Civil Rights Act, Age Discrimination in Employment Act, Americans With Disabilities Act, Family Medical Leave Act, Fair Labor Standards Act, Rehabilitation Act, Fair Housing Act, Housing Act of 1937, New York State Executive Law, and New York City Human Rights Law a plus. 2. Strong legal analysis and writing skills and the ability to conduct thorough factual investigations, research applicable law, and analyze and evaluate the merits of a matter. 3. Good interpersonal skills. 4. Ability to prioritize and multi-task.",168433.0
"â€¢	Strong engineering, interpersonal, communication, and computer skills with a working knowledge of MS Office software, and project management programs such as e-Builder.  â€¢	Familiarity with project scheduling software.  â€¢	Knowledge of environmental engineering operations and processes for wastewater treatment and CSO facilities.  â€¢	Knowledge of design and construction industry standards and practices as well as a strong ability to work on a broad multidisciplinary base with various fields and trades as well as the ability to concurrently handle multiple related and non-related tasks.  â€¢	Proficiency in written and oral communication skills and have experience in writing and reviewing technical documents (contract specifications, technical memorandums, basis of design reports, facility plans, etc.) for major public works projects.  â€¢	Ability to effectively communicate and conduct business with engineers, inspectors, consultants, contractors, vendors, regulators, other agencies, and the public.  â€¢	This position requires operation of a motor vehicle to perform site visits, equipment testing, inspections, and to attend meetings with project stakeholders.",168433.0
"Demonstrate understanding of policing, criminal justice and research methods.  Demonstrate writing ability.  Candidates must have strong interpersonal skills, strong analytical, organizational, and quantitative skills; and demonstrate ability to meet deadlines and manage multiple initiatives in a timely manner and to be a team player. Capability of utilizing complex statistical and presentation software is strongly preferred. Preference will be given to candidates with experience working for or working with government agencies and government programs related to policing and criminal justice.   Strong facility with Word, Excel and PowerPoint required. Excellent oral and written communications skills. Literate in graduate-level quantitative methods. Knowledge of SQL, SPSS, STATA and/or Tableau a plus, but not required.",168433.0
"â€¢	Strong technical, interpersonal, communication and computer skills with a working knowledge of MS Office software, and Project Scheduling Software.  â€¢	Strong knowledge of project management and project/program controls.  â€¢	Knowledge of design and construction industry standards and practices as well as a strong ability to work on a broad multidisciplinary base with various fields and trades as well as the ability to concurrently handle multiple related and non-related tasks.  â€¢	Proficiency in written and oral communication skills and have experience in writing and reviewing contract specifications for major public works projects.  â€¢	Ability to effectively communicate and conduct business with engineers/architects, inspectors, consultants, contractors, vendors, other agencies, and the public.  â€¢	This position requires operation of a motor vehicle to perform site visits, equipment testing, inspections, and to attend meetings with project stakeholders.",168433.0
"â€¢	A very high level of training, education, and experience in the management of small-scale construction projects and in personnel and contract administration.   â€¢	Six years of experience in project management work of the kind described above, including at least two years in a managerial or consultative capacity in an organization responsible for the management of construction projects. â€¢	Valid certification issued by National Institute for Certification in Engineering Technology (NICET) â€¢	OSHA 30-hour construction safety & health training. â€¢	Excellent communication, organizational and writing skills. â€¢	A valid New York State driverâ€™s license.",168433.0
"Experience or familiarity with the Department of Probation work. Legal experience in a General Counselâ€™s office at a local, state, or federal government agency. Litigation experience, preferably in administrative law, New York state civil procedure, FOIL, labor, and/or employment disputes. Experience in administrative or disciplinary actions and hearings, labor relations, employment law, City procurement and contracting; privacy regulations; government audits; EEO; and Conflict of Interest (COIB).  Experience in investigative interviews, taking testimony in hearing and/or administrative trials Excellent interpersonal skills, including demonstrated success working collaboratively with colleagues, clients, direct reports, and/or supervisors. Exceptional organization and project management skills and ability to work independently, including demonstrated experience managing diverse workload with competing deadlines. Demonstrated success in strategic thinking and creative problem-solving skills.  Excellent attention to detail.  Possess strong negotiation, research and writing skills; and have excellent interpersonal skills.  Strong work ethic.  Strong communication skills. Able to manage multiple priorities and operate effectively in a fast-paced work environment is required.",168433.0
"The preferred candidate should possess the following: â€¢	At least 10 years of experience and 18 months supervisory experience in Cybersecurity, including risk management, vulnerability assessments, penetration testing, security assessments, strategy and program development, network architecture designs, or monitoring solutions. A bachelors can substitute for 2 years of experience, but 18 months supervision is mandatory; â€¢	2+ years of experience, BS or MS in Computer Engineering or Electrical Engineering Reverse Engineering; Vulnerability Research; Wireless and Network Communications; Malware; Mobile/Embedded Development; RTOS Kernel development; Constraint Solving; Exploit mitigation techniques; â€¢	Experience with industrial control regulations, including IEC 62443, NIST SP 800-82, NERC CIP, or NEI 08-09 or other industrial control regulations; â€¢	Experience with Cybersecurity standards and best practices and how to integrate them; â€¢	Experience with evaluating security vulnerabilities, developing mitigation strategies, and implementing remediation; â€¢	Experience with analyzing vulnerability and security risk assessment tool results, including DoD SCAP or Nessus; â€¢	Ability to analyze Cybersecurity documentation, including security policies, plans, and procedures; â€¢	Strong organizational skills; will require tracking of outstanding issues and multiple projects; â€¢	Ability to work as part of a team, as well as independently; â€¢	Ability to drive projects to full completion; â€¢	Exceptional written and oral communication skills; â€¢	Highly motivated self-starter demonstrating integrity, initiative and innovation qualities; â€¢	Strong organizational skills; will require tracking of outstanding issues and multiple projects; â€¢	Exemplary Communications, both oral and written; â€¢	Willingness to travel in the five boroughs of NYC; â€¢	Ability to train and lead staff; â€¢	Excellent research and analytical skills; â€¢	Excellent oral and written communication skills.",165000.0
"1.	Extensive research and writing skills related to health and environmental conditions with the ability to communicate in different styles and to varied audiences (e.g., memoranda, policies, abstracts, manuscripts, grants, proposals, protocols, presentations, outreach materials, and social media). 2.	Subject matter expert in compliance investigations and/or environmental compliance matters. 3.	Experience managing, blending, analyzing, and reporting on quantitative data from multiple sources. 4.	Project management skills with experience in managing and supervising administrative projects.  Familiarity with Smartsheet, Basecamp, Lucidchart, Visio, and Projects. 5.	Experience managing high-priority projects and tracking project lifecycles. 6.	Experience working collaboratively to develop and execute project plans. 7.	Ability to make timely and effective decisions and produce results through strategic planning. 8.	Excellent communication skills with ability to engage and facilitate cooperation among multiple stakeholders. 9.	Firm working knowledge of Microsoft Outlook, Word, Excel, PowerPoint, and Publisher.",161534.0
at  least 18 months of which must have been in a managerial or administrative capacity,161534.0
"â€¢ Knowledge of Trunk water main and sewer installations as well as DEP Water & Sewer standards and specifications. â€¢ 10 or more years of Construction experience. â€¢ Minimum 2-3 years supervising engineers and inspectors.  â€¢ Knowledge of billing practices. â€¢ Evaluate and handle multiple projects and priorities.  â€¢ Proficiency in Microsoft Office programs including Excel, Word, Outlook and Project. â€¢ Ability to be on call 24/7  License Requirements Possess and maintain a valid New York State driverâ€™s license.",161497.0
"\"1. For Assignment to Assignment Level IV  - In addition to meeting the \"\"Qualification Requirements\"\" for Criminalist",161497.0
"â€¢	A background in Civil engineering â€“ preferably sewer maintenance â€¢	Experience in Contracts management, including procurement and budget â€¢	Supervisory experience â€¢	Excellent writing skills  â€¢	Valid Driver License is a requirement",161497.0
"\"\"2\"\"",160000.0
"1.	By time of appointment, must have an active Private Elevator Inspection Agency Director License, issued by the NYC Department of Buildings.  2.	Ten or more years of hands on experience in the design, construction, installation and maintenance of all types of conveyances and related industry standards, with a focus on elevator devices; at least five years of which must have been in a supervisory capacity.  3.	Successful completion of a training program for elevator maintenance, installation or repair, registered with the Bureau of Apprenticeship and Training, United States Department of Labor or a New York State Apprenticeship Council, including but not limited to the National Elevator Industry Elevator Educational Program. 4.	A NYS licensed design professional with at least five years of experience in the supervision of the assembly, installation, maintenance, repair, design or inspection of elevators, preferred.  5.	Bachelorette degree in engineering with a focus on Electrical or Computer Engineering.",158000.0
"â€¢The Deputy Chief is expected to be a strategic thinker, anticipating issues or trends and must be open to new approaches and technologies while also thinking from an evidence based policing mindset understanding the needs of the for-hire industry, the City of New York and the public safety community. â€¢The Deputy Chief is expected to have the mentorship skills and a clear understanding or resource allocation while avoiding micromanagement. â€¢Experience managing groups of teams/squads within the context of a complex law enforcement organization with the ability to manage Administrative resources (staffing, equipment, officer wellness, etc.) to develop innovative enforcement initiatives and enhance staff morale.    â€¢Prior experience with an accredited law enforcement agency, and/or managing Peace Officer Operations â€¢Military Service managing security operations. â€¢The ability to manage up and develop uniform first-line and middle-management personnel. â€¢3 to 5 years supervisory experience. â€¢Able to work overnight and midnight shifts which may include weekends",156829.0
"â€¢ Familiarity with facilities, equipment and processes related to wastewater treatment â€¢ Managerial and supervisory experience â€¢ Experience with management of personnel resources â€¢ Effective judgment and decision-making skills â€¢ Experience with quantitative analysis and interpretation â€¢ Strong written expression: the ability to effectively communicate information and ideas in written words",156829.0
"all candidates must have one year of experience in the field of aging and one and one-half years of experience in an administrative or managerial capacity.\"",156829.0
"a baccalaureate degree and eighteen (18) months of managerial experience in city planning is required of all candidates. Graduate work leading to an advance degree in city planning or related field may be substituted for up to two (2) years of the non-managerial experience on a year-for-year basis. Graduation from an accredited United States Law School may be substituted for two (2) years of non-managerial  experience.\"",156829.0
"â€¢Candidate must be capable of leading a team and working well independently and collaboratively. â€¢Excellent research, writing, editing, and communications skills. â€¢Proven experience drafting and editing press releases, advisories, press briefings, op-eds, letter to the editors and/or other related press materials. â€¢Strong analytical and organization skills, and attention to detail. Must be able to handle multiple deadline assignments in a fast-paced and rapidly changing environment. â€¢Ability to fact-check and synthesize complex legislation and research on a range of police-community relations topics. â€¢Knowledge of and experience working in New York City media market. â€¢Passion and commitment to the mission of the Agency and cultivating a positive, collegial work environment. â€¢Proficiency with Microsoft Word, Power Point and other Microsoft Office applications. â€¢Familiarity with various social media and digital platforms. â€¢Discretion in handling sensitive and confidential matters.",156829.0
"â€¢	Strong relationships with organizations and groups serving diverse communities in the City and five yearsâ€™ experience working with some of the following people and communities:  immigrants; people of color; people with limited English proficiency; people living with HIV/AIDS; lesbian, gay, bisexual and/or transgender people; people with disabilities; people with accommodations issues related to pregnancy, disability or religion; and people with criminal or arrest histories.  â€¢	Must be well organized, assertive, and able to work independently and collaboratively. â€¢	Strong work ethic. â€¢	Excellent attention to detail and organizational skills. â€¢	Strong oral and written communication skills. â€¢	Strong people skills and leadership skills. â€¢	Familiarity with the NYCHRL. â€¢	Experience with CRMs solutions, especially with Microsoft Dynamics and/or Salesforce. â€¢	Experience with Digital Signature Implementations. â€¢	Knowledge of Document Management Systems",156829.0
"all candidates must have the four years of supervisory or managerial experience as described in \"\"1\"\" above.    License Requirements  All candidates must possess a Motor Vehicle Operator's License valid in the State of New York.\"",156829.0
"A.	A valid driverâ€™s license to operate a motor vehicle in New York State. B.	Diverse design and technical background in civil, electrical, environmental, or mechanical engineering principles.   C.	Familiarity with facilities, equipment and processes related to wastewater treatment. D.	Knowledge of building, mechanical and electrical codes. E.	Experience in supervising, delegating assignments, training subordinates, responding to emergencies, writing specifications, and implementing policies. F.	Ability to  represent the work unit to supervisors and other groups, coordinate with other work units and organizations, plan long and short term goals and guide the work unit to those goals, identify necessary resources to complete an assignment, supervise, guide, and evaluate staff and assess the performance of the work unit. G.	Proficiency in the following computer programs: AutoCAD, Microsoft Project, Powerpoint, Excel and Word. H.	Strong technical writing and communication skills.",156829.0
"The preferred candidate should possess the following:  -	Bachelorâ€™s degree required, ideally with a business/project management focus; -	Minimum 8 years of experience in project management; -	Proficient in managing projects using Agile and Waterfall methodologies; -	PMP or equivalent certification; -	Facilitate efficient communication between all project stakeholders, including internal teams and clients; -	Experience with RFPs; -	Strong organizational skills; will require tracking of outstanding issues and multiple projects; -	Schedule, organize, task, and report on project progress; -	Willingness to travel in NYC for key meetings; -	Exceptional written and oral communication skills; -	Exceptional organizational and analytical skills; -	Experience with Jira, Trello, Asana or other modern project management tools; -	Experience with Google Suite and Microsoft Office; -	Prior experience working with or in state, local or federal government is a plus; -	Prior experience working at a startup a plus;",155000.0
inventorying,150371.0
all candidtes must have the 18 months of executive,150371.0
"â€¢	Knowledge of the PPB Rules, MOCS' Policies, Comptroller's Directives and general City contract operations. â€¢	Knowledge of record retention protocols and privacy laws. â€¢	Experience in strategic planning, analysis and management. â€¢	Strong customer service orientation and attention to detail. â€¢	Excellent analytical, oral, written, leadership and interpersonal skills.",150371.0
including two years in an administrative capacity,150371.0
